[2026-02-19 10:45:22,044] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-02-19 10:45:23,069] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-02-19 10:45:24,321] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-19 10:45:24,329] 107 dagshub - INFO - Accessing as shreyakush013
[2026-02-19 10:45:25,347] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shreyakush013/network_security "HTTP/1.1 200 OK"
[2026-02-19 10:45:26,319] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-19 10:45:26,322] 107 dagshub - INFO - Initialized MLflow to track repo "shreyakush013/network_security"
[2026-02-19 10:45:26,323] 107 dagshub - INFO - Repository shreyakush013/network_security initialized!
[2026-02-19 10:45:26,323] 17 root - INFO - Initiate the data ingestion
[2026-02-19 10:45:34,334] 66 root - INFO - Performed train test split on the dataframe
[2026-02-19 10:45:34,335] 68 root - INFO - Excited split_data_as_train_test method of Data_Ingestion class
[2026-02-19 10:45:34,336] 73 root - INFO - Exporting train and test file path.
[2026-02-19 10:45:34,462] 84 root - INFO - Exported train and test file path
[2026-02-19 10:45:34,462] 20 root - INFO - Data initiation Completed
[2026-02-19 10:45:34,475] 25 root - INFO - Initiate_data_validation
[2026-02-19 10:45:34,510] 32 root - INFO - Required number of columns:2
[2026-02-19 10:45:34,510] 33 root - INFO - Dataframe has columns:31
[2026-02-19 10:45:34,779] 28 root - INFO - Data validation completed
[2026-02-19 10:45:34,780] 31 root - INFO - Data Transformation started
[2026-02-19 10:45:34,780] 52 root - INFO - Entered initiate data_data_transformation method of DataTansformation class
[2026-02-19 10:45:34,780] 54 root - INFO - Starting data transformation
[2026-02-19 10:45:34,834] 38 root - INFO - Enterted get_data_transformer_object method of dataTransformation class
[2026-02-19 10:45:34,834] 42 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-19 10:45:34,854] 47 root - INFO - Entered the save_object method of  main utils calss
[2026-02-19 10:45:34,860] 51 root - INFO - Exited the save object method of main utils class
[2026-02-19 10:45:34,863] 38 root - INFO - Data Transformation completed
[2026-02-19 10:45:34,863] 40 root - INFO - Model trainer started
[2026-02-19 10:46:18,549] 47 root - INFO - Entered the save_object method of  main utils calss
[2026-02-19 10:46:18,552] 51 root - INFO - Exited the save object method of main utils class
[2026-02-19 10:46:18,553] 112 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_19_2026_10_45_04\\model trainer\\trained model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916801948051948, precision_score=0.9888709024686362, recall_score=0.9945054945054945), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9721559268098647, precision_score=0.9614476789929189, recall_score=0.9831053901850362))
[2026-02-19 10:46:18,555] 45 root - INFO - Model training artifact created
